Date,Price,Open,High,Low,Vol.,Change %
04/07/2021,4.8755,4.8822,4.8920,4.8731,21.36K,-0.12%
04/08/2021,4.8848,4.8783,4.8909,4.8748,18.54K,0.19%
04/09/2021,4.8839,4.8876,4.8928,4.8837,20.54K,-0.02%
04/12/2021,4.8791,4.8868,4.8883,4.8780,21.43K,-0.10%
04/13/2021,4.8771,4.8830,4.8866,4.8714,26.73K,-0.04%
04/14/2021,4.8860,4.8787,4.8931,4.8784,28.73K,0.18%
04/15/2021,4.8861,4.8876,4.8967,4.8835,24.47K,0.00%
04/16/2021,4.8852,4.8880,4.8939,4.8819,22.96K,-0.02%
04/19/2021,4.8888,4.8881,4.8987,4.8835,21.63K,0.07%
04/20/2021,4.8884,4.8918,4.9003,4.8867,27.46K,-0.01%
04/21/2021,4.8825,4.8924,4.8946,4.8782,25.21K,-0.12%
04/22/2021,4.8819,4.8836,4.8902,4.8779,25.11K,-0.01%
04/23/2021,4.8941,4.8835,4.8970,4.8808,26.23K,0.25%
04/26/2021,4.8913,4.8957,4.9004,4.8872,18.44K,-0.06%
04/27/2021,4.8873,4.8934,4.8942,4.8861,25.61K,-0.08%
04/28/2021,4.8865,4.8885,4.8917,4.8828,22.97K,-0.02%
04/29/2021,4.8771,4.8892,4.8943,4.8727,25.50K,-0.19%
04/30/2021,4.8647,4.8786,4.8825,4.8616,23.47K,-0.25%
05/03/2021,4.8676,4.8671,4.8717,4.8523,17.36K,0.06%
05/04/2021,4.8429,4.8675,4.8704,4.8348,19.02K,-0.51%
05/05/2021,4.8465,4.8443,4.8533,4.8335,18.05K,0.07%
05/06/2021,4.8442,4.8481,4.8548,4.8411,25.05K,-0.05%
05/07/2021,4.8529,4.8474,4.8601,4.8424,24.66K,0.18%
05/10/2021,4.8383,4.8549,4.8604,4.8361,24.83K,-0.30%
05/11/2021,4.8488,4.8400,4.8545,4.8334,28.84K,0.22%
05/12/2021,4.8400,4.8502,4.8548,4.8375,28.43K,-0.18%
05/13/2021,4.8366,4.8412,4.8450,4.8296,31.79K,-0.07%
05/14/2021,4.8295,4.8382,4.8389,4.8140,26.84K,-0.15%
05/17/2021,4.8209,4.8321,4.8339,4.8155,23.58K,-0.18%
05/18/2021,4.8312,4.8225,4.8385,4.8192,23.37K,0.21%
05/19/2021,4.8211,4.8310,4.8393,4.8158,23.22K,-0.21%
05/20/2021,4.8324,4.8222,4.8380,4.8188,23.57K,0.23%
05/21/2021,4.8292,4.8341,4.8420,4.8267,21.93K,-0.07%
05/24/2021,4.8315,4.8303,4.8382,4.8282,21.33K,0.05%
05/25/2021,4.8334,4.8329,4.8397,4.8257,28.30K,0.04%
05/26/2021,4.8223,4.8347,4.8411,4.8214,27.76K,-0.23%
05/27/2021,4.8195,4.8237,4.8289,4.8138,29.13K,-0.06%
05/28/2021,4.8125,4.8225,4.8236,4.8050,27.07K,-0.15%
05/31/2021,4.8186,4.8160,4.8245,4.8065,20.14K,0.13%
06/01/2021,4.8224,4.8204,4.8339,4.8190,25.26K,0.08%
06/02/2021,4.8238,4.8253,4.8299,4.8197,21.63K,0.03%
06/03/2021,4.8220,4.8252,4.8322,4.8192,24.65K,-0.04%
06/04/2021,4.8271,4.8226,4.8343,4.8183,22.93K,0.11%
06/07/2021,4.8325,4.8279,4.8391,4.8264,28.24K,0.11%
06/08/2021,4.8342,4.8342,4.8388,4.8271,35.97K,0.04%
06/09/2021,4.8222,4.8351,4.8366,4.8193,31.88K,-0.25%
06/10/2021,4.8288,4.8239,4.8321,4.8179,36.20K,0.14%
06/11/2021,4.8237,4.8296,4.8352,4.8202,28.74K,-0.11%
06/14/2021,4.8215,4.8265,4.8274,4.8190,10.55K,-0.05%
06/15/2021,4.8254,4.8232,4.8312,4.8208,26.14K,0.08%
06/16/2021,4.7863,4.8262,4.8289,4.7842,29.12K,-0.81%
06/17/2021,4.8013,4.7874,4.8141,4.7836,39.12K,0.31%
06/18/2021,4.7917,4.8027,4.8122,4.7916,39.19K,-0.20%
06/21/2021,4.8167,4.8008,4.8196,4.7922,40.22K,0.52%
06/22/2021,4.8176,4.8151,4.8246,4.8003,34.08K,0.02%
06/23/2021,4.8071,4.8197,4.8254,4.8074,19.82K,-0.22%
06/24/2021,4.8166,4.8106,4.8221,4.8071,20.08K,0.20%
06/25/2021,4.8075,4.8192,4.8233,4.8046,20.18K,-0.19%
06/28/2021,4.8057,4.8118,4.8120,4.8018,23.12K,-0.04%
06/29/2021,4.8034,4.8078,4.8129,4.8011,25.59K,-0.05%
06/30/2021,4.7983,4.8045,4.8085,4.7979,31.09K,-0.11%
07/01/2021,4.7946,4.7993,4.8085,4.7937,29.42K,-0.08%
07/02/2021,4.8034,4.7959,4.8102,4.7899,35.51K,0.18%
07/05/2021,4.8031,4.8050,4.8081,4.7966,16.25K,-0.01%
07/06/2021,4.8057,4.8056,4.8140,4.8008,22.03K,0.05%
07/07/2021,4.7961,4.8092,4.8123,4.7922,21.03K,-0.20%
07/08/2021,4.7973,4.7989,4.8026,4.7876,26.66K,0.03%
07/09/2021,4.7931,4.7986,4.8023,4.7853,21.83K,-0.09%
07/12/2021,4.7889,4.7955,4.7980,4.7855,20.34K,-0.09%
07/13/2021,4.7720,4.7898,4.7931,4.7692,21.95K,-0.35%
07/14/2021,4.7779,4.7717,4.7829,4.7647,24.78K,0.12%
07/15/2021,4.7652,4.7782,4.7817,4.7657,20.77K,-0.27%
07/16/2021,4.7727,4.7688,4.7811,4.7640,21.92K,0.16%
07/19/2021,4.7589,4.7748,4.7769,4.7548,23.24K,-0.29%
07/20/2021,4.7488,4.7621,4.7623,4.7327,25.86K,-0.21%
07/21/2021,4.7411,4.7501,4.7502,4.7292,20.74K,-0.16%
07/22/2021,4.7569,4.7435,4.7625,4.7375,22.20K,0.33%
07/23/2021,4.7635,4.7608,4.7705,4.7565,20.26K,0.14%
07/26/2021,4.7711,4.7652,4.7752,4.7579,20.09K,0.16%
07/27/2021,4.7839,4.7722,4.7917,4.7653,23.40K,0.27%
07/28/2021,4.7837,4.7878,4.7926,4.7655,25.03K,0.00%
07/29/2021,4.7721,4.7863,4.7885,4.7667,19.95K,-0.24%
07/30/2021,4.7685,4.7731,4.7814,4.7657,19.61K,-0.08%
08/02/2021,4.7736,4.7726,4.7835,4.7678,18.11K,0.11%
